//注意文件編碼必須是Anis
//已經開放的交通工具不可刪除

MaxTrafficTool          //後來新增交通工具種類總數(新增幾個交通工具就填數字幾-舊的GS有22個)
28

TrafficID               //交通工具ID(新增交通工具直接換行)
48044                   //黃色小鴨
48053                   //紙飛機
48063                   //羅德號
48058                   //上弦月
48059                   //上弦之月
48055                   //南瓜車
48056                   //狗拉雪橇
48057                   //重型機車
48048                   //魔法掃把
48049                   //魔羽掃把
48062                   //筋斗雲
48075                   //聖誕雪橇
48077                   //虎氣球
48079                   //兔氣球
48082                   //聽雨眠
48086                   //神龍飛船
48087                   //紙船
48089                   //紋銀弦月
48091                   //七香車
48081                   //UFO
48097                   //鯊魚
48105                   //飛劍˙銀
48100                   //瑪雅火箭
48052                   //機械豹
48108                   //傘中憩
48050                   //機械龍
48118                   //玩具木馬
48120                   //飛劍翡翠

TrafficCapsuleID        //交通工具膠囊ID(新增交通工具直接換行)
48061                   //黃色小鴨膠囊
48065                   //紙飛機膠囊
48064                   //羅德號膠囊
48066                   //上弦月膠囊
48067                   //上弦之月膠囊
48068                   //南瓜車膠囊
48069                   //狗拉雪橇膠囊
48070                   //重型機車膠囊
48071                   //魔法掃把膠囊
48072                   //魔羽掃把膠囊
48073                   //筋斗雲膠囊
48076                   //聖誕雪橇膠囊
48078                   //虎氣球膠囊
48080                   //兔氣球膠囊
48083                   //聽雨眠膠囊
48095                   //神龍飛船
48088                   //紙船膠囊
48090                   //紋銀弦月膠囊
48092                   //七香車膠囊
48094                   //UFO膠囊
48099                   //鯊魚膠囊
48106                   //飛劍˙銀膠囊
48101                   //瑪雅火箭膠囊
48104                   //機械豹膠囊
48109                   //傘中憩膠囊
48115                   //機械龍膠囊
48119                   //玩具木馬膠囊
48121                   //飛劍翡翠膠囊

TrafficExchangeItem     //交通工具兌換卷ID(新增交通工具直接換行)
30558                   //黃色小鴨兌換卷
30593                   //紙飛機兌換卷
30590                   //羅德號兌換卷
30594                   //上弦月兌換卷
30602                   //上弦之月兌換卷
30739                   //南瓜車兌換卷
30617                   //狗拉雪橇兌換卷
30629                   //重型機車兌換卷
30647                   //魔法掃把兌換卷
30648                   //魔羽掃把兌換卷
30652                   //筋斗雲兌換卷
30750                   //聖誕雪橇兌換卷
30756                   //虎氣球兌換卷
30812                   //兔氣球兌換卷
30772                   //聽雨眠兌換卷
30912                   //神龍飛船
30841                   //紙船兌換卷
30850                   //紋銀弦月兌換卷
30884                   //七香車兌換卷
30911                   //UFO兌換卷
30953                   //鯊魚兌換卷
30985                   //飛劍˙銀兌換卷
30954                   //瑪雅火箭兌換卷
30975                   //機械豹兌換卷
31047                   //傘中憩兌換卷
31061                   //機械龍兌換卷
31118                   //玩具木馬兌換卷
31155                   //飛劍翡翠兌換卷

TrafficWayKind          //1-陸用 2-水用 3-空用(新增交通工具直接換行)
2                       //黃色小鴨
3                       //紙飛機
1                       //羅德號
3                       //上弦月
3                       //上弦之月
1                       //南瓜車
1                       //狗拉雪橇
1                       //重型機車
1                       //魔法掃把
1                       //魔羽掃把
1                       //筋斗雲
1                       //聖誕雪橇
3                       //虎氣球
3                       //兔氣球
3                       //聽雨眠
3                       //神龍飛船
2                       //紙船
3                       //紋銀弦月
1                       //七香車
3                       //UFO
2                       //鯊魚
3                       //飛劍˙銀
3                       //瑪雅火箭
1                       //機械豹
2                       //傘中憩
1                       //機械龍
1                       //玩具木馬
3                       //飛劍翡翠

FixTrafficCost          //修復交通工具花費點數(新增交通工具直接換行)
1                       //黃色小鴨
1                       //紙飛機
1                       //羅德號
1                       //上弦月
1                       //上弦之月
1                       //南瓜車
1                       //狗拉雪橇
1                       //重型機車
1                       //魔法掃把
1                       //魔羽掃把
1                       //筋斗雲
1                       //聖誕雪橇
1                       //虎氣球
1                       //兔氣球
1                       //聽雨眠
1                       //神龍飛船
1                       //紙船
1                       //紋銀弦月
1                       //七香車
1                       //UFO
1                       //鯊魚
1                       //飛劍˙銀
1                       //瑪雅火箭
1                       //機械豹
1                       //傘中憩
1                       //機械龍
1                       //玩具木馬
1                       //飛劍翡翠

TrafficCapacity         //搭乘人數(最大4人)(新增交通工具直接換行)
1                       //黃色小鴨
1                       //紙飛機
2                       //羅德號
1                       //上弦月
1                       //上弦之月
4                       //南瓜車
2                       //狗拉雪橇
2                       //重型機車
1                       //魔法掃把
1                       //魔羽掃把
1                       //筋斗雲
2                       //聖誕雪橇
1                       //虎氣球
1                       //兔氣球
1                       //聽雨眠
4                       //神龍飛船
1                       //紙船
1                       //紋銀弦月
2                       //七香車
1                       //UFO
2                       //鯊魚
1                       //飛劍˙銀
1                       //瑪雅火箭
1                       //機械豹
1                       //傘中憩
1                       //機械龍
1                       //玩具木馬
1                       //飛劍翡翠

TrafficSpeedAdd         //交通工具的速度加權(GS目前用的範圍 0.02~0.04,越大越快)(新增交通工具直接換行)
